,ID,Molecular_Name,Covalent Warhead,n_obs,y,LogConcentration,Negative,Positive,theta,ASE,Variances,Outlier_Pos
268,ID_1471,CVD-0011632,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 96.41654406  98.71832598  55.08909596  97.01814615  97.25682524
  99.52264182  94.54634625 100.          94.2455452   97.59359163
  92.71538336  97.75380088  94.69020762  99.72862514  94.98119993
  95.99803825  89.050188    90.14549616  55.06293935  55.34085336
   0.           0.53621056]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[-21.76187487  96.90793811  -4.3372351    1.9043405 ],[8.49472181 0.53222406 0.04577425 0.22301425],[3.89137255],[2]
269,ID_1472,CVD-0011631,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[  4.69829962   8.41283976   2.59933003   5.47004198   4.01560446
  11.25810966   0.           4.45660009  23.07594454  25.11130899
  46.85578595  53.59369037  75.71131747  81.51634652  92.846542
  95.02607811  90.39562397 100.          77.77636433  84.42522156
  17.54229742  25.78976381]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 8.15171109e+00  7.64462021e+01 -2.07164833e-01  7.64056609e-12],[6.43438965e+08 6.43439023e+08 0.00000000e+00 1.62965465e-01],[1639.39938997],[]
270,ID_1473,CVD-0011630,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[100.36742564 100.92824329 100.6085886  100.69276813 100.02615729
 100.46980614  99.00576494  99.06605568  92.29870437  93.70131728
  85.57685551  91.60137938  24.10987611  31.73836121   1.32452619
   1.34613986   1.71584723   2.45412442   3.44949043   5.02728775
   9.85054704  10.03483195]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 4.17304389 98.82141965 -6.07357253  2.94090576],[1.31468359 1.1610929  0.02231163 0.30495874],[13.00463007],[]
271,ID_1474,CVD-0011629,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 97.92465361  98.92685725  99.66341655 100.          96.78509977
  98.18576992  93.65925076  97.47939747  89.84363208  93.09475654
  75.05207233  76.25954659  55.8849277   64.91683521  62.22114891
  62.27397591  13.74407583  15.43303046   0.           0.
   0.           0.        ]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[-16.58552678  98.9349701   -5.34301561   0.72000439],[11.80659843  3.39398954  0.16399071  0.15253938],[58.00710194],[]
272,ID_1475,CVD-0011629,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 71.43829508  74.3921044   95.61916162 100.          90.27367038
  92.92822607  85.65812327  87.59799089  80.00399005  83.98347651
  60.09716941  62.07693752  26.89527297  31.99549359   5.00399005
   5.40768906   2.43862367   2.92564428   0.           0.
   0.           0.        ]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[-0.23272241 90.11213949 -6.14936482  1.41781647],[2.21797112 2.03987152 0.04687127 0.18987727],[25.73731533],[0]
273,ID_1476,CVD-0011628,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 50.18097953  52.59457382  52.6682469   53.22559979  52.68586438
  55.81376726  54.44601044  54.78234409  50.6710657   54.194561
  51.48627438  53.07344886  39.30779333  47.75617412   0.
   4.65101381   0.68868317  15.72760178 100.         100.
 100.         100.        ]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 2.49270122e+01  7.90687714e+01 -2.53027969e-02  5.27588381e-14],[4.92044846e+08 4.92044865e+08 0.00000000e+00 1.46989177e-01],[1018.43976012],[]
274,ID_1477,CVD-0011618,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 78.52426903  82.49292607  19.56032794  72.12508162  58.26017558
  67.4163825   41.53667561  66.966553    53.51519988  55.56119858
  14.53239498  51.53449902  51.88275412  74.26539941  98.93346877
 100.          91.52579264  94.09417398  82.85569179  96.81491693
   0.           6.84176159]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 2.42747139e+01  9.42252956e+01 -1.15900603e-03  9.87765101e-03],[3.09584129e+06 2.31558953e+06 9.81600865e+05 7.56382548e+02],[1058.16036948],[]
275,ID_1478,CVD-0011616,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 93.66156232  95.58053886  95.69684047  98.23609227  98.99205272
  99.45725916  95.50300446 100.          83.31071913  91.54874976
  64.64431091  66.09808102  25.97402597  27.29211087   7.8891258
  14.75092072   3.35336305   4.67144796   0.           0.69780965
  15.39057957  16.12715643]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[ 6.61965536 97.15090663 -6.2343963   1.65351628],[1.85852353 1.68637738 0.03777471 0.20503686],[21.54267133],[]
276,ID_1479,CVD-0011616,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 96.81809963  98.49630807  98.60002713 100.83083713 101.48885806
 101.90033369  98.4333965  102.36791963  87.73673057  94.95625744
  71.36272121  72.64135621  37.43298529  38.59259841  21.57927154
  27.59497717  17.6005403   18.74485061  14.66069999  15.2609103
  28.15267967  28.80219904]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[20.46122995 99.87528835 -6.23439057  1.65364754],[1.62993044 1.47895481 0.03776505 0.20501433],[16.56997749],[]
277,ID_1481,CVD-0011612,0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[ 97.1594704   98.83510785  97.4384159   98.66420461  95.21078065
  98.00220013  94.55270499  98.64063175  96.39728126  97.57199544
  98.39704553 100.          94.06946136  94.17357482  86.45346325
  88.4866224   75.49011904  78.30904019  25.16599222  35.63627077
   0.           1.94672534]","[-8.77121249 -8.77121249 -8.29409132 -8.29409132 -7.81697004 -7.81697004
 -7.33984878 -7.33984878 -6.86272753 -6.86272753 -6.38560627 -6.38560627
 -5.90848502 -5.90848502 -5.43136376 -5.43136376 -4.95424251 -4.95424251
 -4.47712125 -4.47712125 -4.         -4.        ]",None,None,[-10.03258585  96.84296236  -4.59874062   1.60129069],[4.97340666 0.8189773  0.03875239 0.16012897],[9.21842404],[]
