,theta,mean,std,lower,upper
0,theta1,0.3850222047946163,0.02297894810623595,0.36204325668838033,0.40800115290085226
1,theta2,0.6080146966357629,0.027871959774630896,0.580142736861132,0.6358866564103938
2,theta3,0.00043107767361865194,1.7839136369358046e-05,0.0004132385372492939,0.00044891680998801
3,theta4,0.001788792975168064,8.101367910401024e-05,0.0017077792960640537,0.0018698066542720741
