,theta3,theta4
0,-5.985899580840298,0.9360089490898997
1,-6.054869155303234,1.1067250125732597
2,-6.073184493984216,1.021939106663411
3,-6.069615258732357,0.8869106614595723
4,-6.056818911779612,1.0391497131735794
5,-6.13676433054405,0.9020144147121768
6,-6.1352301812924,1.1250271808639047
7,-6.095420941018926,0.9680145996391638
8,-6.149019085299205,1.0201320213127245
9,-6.133044458070512,0.8386302014013044
10,-6.073517101854364,0.9826862376457406
11,-6.044777383881241,1.1826330954858544
12,-6.098564596442263,0.8965641791445542
13,-6.031196399428022,1.0076682464342521
14,-6.040759331781481,0.9564438433572232
15,-6.039570716799657,0.9175929121103186
16,-6.046759616520254,0.9633272231362185
17,-6.100038525629975,1.078269380128537
18,-6.124629040884933,0.931939452355768
19,-6.03470855808786,0.986609485808197
20,-6.064674605602472,1.0057305170117
21,-6.110470093315178,0.9896711691906958
22,-6.085697573668034,1.0060398456648687
23,-5.990273808846275,1.0546816028131005
24,-6.041026108521215,1.1251956460386958
25,-6.0986936349330865,1.0114565279501078
26,-6.110180677154054,1.0227729290285117
27,-6.032179464602016,1.0809879865443874
28,-6.097226615344508,1.1067526215128982
29,-6.067198782257061,1.1511165517729787
30,-6.102120154289954,0.9089190385187436
31,-6.111057388688103,0.9726672191135393
32,-6.0432038775529024,1.1938326332642428
33,-6.0508402156654375,1.0027445971589415
34,-6.159297499982587,1.1219471163434749
35,-6.022712337426471,1.1679160940614421
36,-6.0645076850352915,0.8879805656233983
37,-6.076702318471353,1.0065651016370971
38,-6.062894932087329,1.2524174439929838
39,-6.066642086978674,1.0716497120493087
40,-6.102740310252675,1.0524861576477194
41,-6.047803398421313,1.1649912546331627
42,-6.043172269417856,1.1204468606693687
43,-6.04970545708748,1.1211552577074388
44,-6.043487484053678,1.0541727708845867
45,-6.121400557174733,1.0293948872961474
46,-6.029231106766864,1.0847646624487013
47,-6.072748246152969,0.9114225384405333
48,-6.128332155164949,1.0108460843517388
49,-6.066321189411112,0.945082365270021
50,-6.057516384898115,1.1949761314892329
51,-6.065254243663748,1.067672165470639
52,-6.017673040519149,0.9624833934549205
53,-6.051632104388357,1.0780028159229562
54,-6.117192654630587,1.1866635840770798
55,-6.063262276414247,1.0518347891802267
56,-6.018228249658898,0.8693465217537863
57,-6.081274771511775,0.9781612991509391
58,-6.080693495162202,1.0105264578752768
59,-6.0700939749012655,1.1092808066942663
60,-6.076485205993136,1.1026886506768467
61,-6.052434733088614,0.8810790058669916
62,-6.1493364657149705,0.8588263494306106
63,-6.047958321249936,0.9647218253041716
64,-6.0500024172650555,0.9960018346401339
65,-6.097219258936453,1.0711264569181147
66,-6.0557035820244325,0.8484399326437104
67,-6.049641838688276,1.0001212285706909
68,-6.141353518886963,0.9088757375812011
69,-6.047638467097973,0.9536636035632025
70,-6.093726821195255,1.0195110936226586
71,-6.033550990029763,1.017916457021459
72,-6.131447793784151,0.9200542848252757
73,-6.087357345196211,0.9782382594667993
74,-6.068501668626159,1.0441490955772343
75,-5.994360397746688,0.9839669827167998
76,-6.055559561028201,1.0616514939847208
77,-6.0902320772779355,0.8945659126189707
78,-6.08596196653838,0.9212124423874936
79,-6.122098704459768,0.9961361418581687
80,-6.096522125534849,0.9179268080665952
81,-6.050587606215591,0.9596667201671472
82,-6.101900487035766,1.0918505638222855
83,-6.075332726193518,1.014858333881496
84,-6.0516623760662105,1.0030473343918445
85,-6.005404033209163,0.8814230470827636
86,-6.0958036296276426,0.9070728341814457
87,-5.986727593571535,0.9918050875796014
88,-6.078628979865992,1.0151644581234278
89,-6.04647524211106,0.9668610093273479
